Raman shift [1/cm],AT1,AT2,AT3,AT4,AT7,AT8,AT9,AT10,AT11,AT12,AT13,AT14,AT15,AT16,AT17,AT18
1064,108.1944359,432.534052,222.7742677,345.159938,714.5934785,760.513559,270.2706052,658.0689758,275.3238006,10843.80591,3334.514583,9249.215923,511.9976921,425.223705,216.1603005,847.167324
1062,82.42296691,401.976031,231.9072484,308.2384863,697.3845578,810.2504103,251.7031271,661.541047,263.4509814,10802.91374,3213.053359,9252.316293,554.3363163,522.5638772,213.4560614,759.1334442
1060,69.99798965,402.2256716,260.74705,327.0003648,669.2692086,811.9762348,270.222481,685.3545813,313.0271906,10907.258,3125.531942,9222.759089,643.4032982,649.2887945,179.7676541,861.4385181
1058,77.45261495,395.5990686,234.3932721,368.1408457,597.9583097,781.8573713,261.5818154,674.1437086,346.926172,11168.1563,2971.367493,9243.581517,728.0750569,731.0992667,176.9850984,996.6227091
1056,79.66604832,392.382977,196.6702558,362.1720932,521.0526587,785.1064246,263.3975761,664.0347238,333.6917313,11267.69268,2811.892449,9274.256181,738.2292197,829.1811184,204.4152229,972.7239183
1054,69.32914738,421.3231317,184.2163161,317.4338599,468.6535219,801.0624086,307.2151955,695.5971707,317.1579834,11348.93065,2657.932326,9292.139888,730.8652118,962.8054434,196.5736318,940.4569205
1052,60.81495201,463.4162982,184.3663109,287.6816846,427.6845169,822.7973356,346.4441058,741.722557,315.1934351,11562.81554,2509.504322,9325.706238,765.6636695,1062.421247,151.3953343,1027.205284
1050,61.79850915,470.5095609,184.0430076,292.627,377.5557745,893.4285736,341.4987727,753.2539112,304.3172328,11683.36108,2420.086895,9377.442641,802.3367299,1119.767934,135.098698,1059.851489
1048,69.43727898,442.9166701,174.9620698,331.8829481,324.0999871,959.0256592,340.0200512,742.0884708,305.7071432,11767.97723,2343.876739,9422.202053,827.0705571,1231.323983,146.176063,933.4038858
1046,69.21356919,438.106195,168.9774193,387.0458023,285.1091669,996.728642,367.3783846,769.4449467,295.9600679,11962.01958,2236.097983,9450.589819,832.6694067,1363.658618,156.6487815,739.7463483
1044,49.97288758,448.5378387,181.9559973,393.9593732,249.7337985,1019.593254,408.1916183,788.6247186,287.4832477,12145.10198,2144.601033,9469.107312,823.5682972,1445.429761,167.3842893,683.5401148
1042,36.86800333,415.7588973,191.6449462,352.2899802,202.9570108,1028.675721,454.5830184,731.4575162,300.8733128,12243.36866,2078.193877,9488.851711,831.3608447,1492.493074,191.8494729,749.3810377
1040,60.69325486,366.2327173,169.8512434,355.0249096,160.8966772,1024.702775,503.1845935,664.0221448,294.7762048,12405.70851,1956.998831,9513.903633,873.0388187,1535.824417,212.1767142,709.75122
1038,83.27479679,406.45709,161.903923,401.2525276,137.1296926,1042.629511,511.1750757,669.7865776,244.9923725,12526.33116,1813.412495,9537.454675,900.4115998,1523.253581,198.1994107,590.4680273
1036,76.88417622,453.1854639,172.7331552,393.6304805,102.8125,1054.130734,499.1414274,669.5943955,203.0885361,12637.3393,1726.7078,9578.608827,933.9075519,1536.683976,181.8350479,531.3195225
1034,64.48930487,457.3847607,189.995545,359.5280443,87.58791697,1038.826398,528.7937634,651.590709,226.7245514,12817.85344,1731.356575,9618.537566,948.6462215,1607.680883,161.5488631,557.7869995
1032,69.84921727,461.3392834,207.8323973,379.9198351,125.8338822,1028.765638,600.1333531,660.3709513,303.7643448,13015.90069,1742.982197,9633.019573,904.6602535,1656.526048,124.9403887,630.1449103
1030,74.79787903,442.2703009,202.2798327,407.9453351,148.9588905,1041.284685,640.2022965,630.8953603,370.1738886,13156.05975,1655.071723,9651.839619,877.4096791,1670.009486,124.7825839,719.1196555
1028,66.77459258,440.1676715,161.1981702,447.700011,116.3422705,1043.119853,625.0028498,592.93256,390.8228476,13300.35351,1567.754671,9666.891928,925.9570505,1699.350658,153.4321518,659.5778277
1026,51.24320388,506.0313809,129.5053824,527.9523563,64.28414103,1045.164572,615.1571215,612.9780046,400.5251237,13488.90433,1513.26856,9673.746812,980.45351,1701.475657,145.2590522,555.8421112
1024,46.94031774,555.9516868,126.9984139,584.6545152,26.91276707,1060.735265,659.7885247,637.3377056,428.8366253,13679.81616,1404.540122,9715.469769,1015.994196,1678.56453,112.2758835,573.7443172
1022,67.3879048,534.463087,128.5597237,586.4260518,0.017443009,1074.372299,735.7981787,623.7008318,472.7642388,13808.90424,1219.884895,9785.524817,1081.367637,1701.240803,105.9267931,643.4497369
1020,99.97144416,590.9423484,133.6807251,671.2699742,1.773759288,1094.620859,807.2140422,701.5769939,534.6147168,13872.276,1047.011841,9797.338832,1151.207456,1730.995894,93.08837121,640.5440876
1018,108.1513672,726.4426752,138.0260089,850.7784146,0,1134.280122,895.6669589,863.4750981,591.8796945,13979.54259,881.1138274,9837.316683,1236.858901,1697.800088,91.71179151,667.2525807
1016,113.4399653,955.6868572,149.8598597,1100.632838,0,1156.428826,1103.73433,1051.116181,734.7015338,14128.1559,763.8432499,9927.667793,1386.09821,1667.952027,134.850013,807.3713148
1014,152.8672318,1316.130038,177.3522367,1500.20983,65.85524228,1158.453017,1472.286715,1347.542172,1019.529031,14217.95594,762.6213452,9982.3698,1625.121037,1705.219668,176.9928392,980.0005733
1012,204.3428977,1770.375143,209.8698671,2078.253226,227.9778458,1203.637607,1928.690024,1831.675891,1351.011225,14247.95722,872.228263,9992.037625,1931.761488,1747.672757,157.5148752,1081.99047
1010,222.4605119,2228.797913,233.5572287,2599.232599,398.2270177,1306.445001,2385.404367,2299.8016,1626.774614,14313.8347,1033.128379,10045.63613,2242.532362,1746.232918,133.7928338,1138.030822
1008,216.4306557,2533.025769,251.201947,2845.253468,511.4977152,1402.810687,2657.285569,2549.957268,1753.323984,14341.48521,1140.243432,10078.95161,2423.126374,1714.01809,144.5311353,1180.582538
1006,213.6716126,2463.9628,238.1068904,2732.601374,560.4548599,1418.440788,2536.807782,2511.949468,1660.973772,14246.24629,1096.773492,10032.37319,2390.214757,1667.464093,134.7354876,1159.066898
1004,203.4162677,2032.723505,188.8758727,2332.152615,510.8410939,1360.668845,2112.731198,2188.518349,1378.455504,14056.75513,908.0687207,9952.999884,2170.840355,1579.005898,111.7105511,1024.496906
1002,162.8702532,1542.715181,158.3856217,1795.100637,354.6438382,1311.077652,1698.115216,1680.439863,1033.83259,13850.23616,666.9172329,9895.874714,1875.952628,1432.859998,152.3091107,820.9319208
1000,120.8480055,1179.910495,176.1676302,1237.796627,235.4398952,1313.554406,1318.490133,1257.477993,736.1451718,13684.88781,426.7824963,9849.252035,1644.625296,1297.168766,168.0322463,637.6558985
998,91.56386303,942.2497919,182.1050817,842.0774873,156.0921207,1295.14423,959.7658645,932.215208,524.3810038,13591.21984,238.8680442,9808.494241,1441.086847,1194.700781,151.85202,604.2815293
996,78.87380098,762.5883079,155.3747165,686.4963777,68.36702366,1224.454311,698.4226741,657.8150571,398.6210892,13539.30935,129.3488303,9771.499549,1243.834175,1072.208407,147.3078841,594.3685573
994,76.56415348,627.1311261,136.6052749,622.9899657,0,1177.756485,566.8958454,508.9111013,321.0700619,13492.47294,71.78381746,9721.257132,1151.289365,929.7566723,157.1920655,480.8360665
992,61.55933313,558.1826045,130.581274,488.6497833,0,1197.328452,480.410669,493.743938,238.3158166,13477.58332,30.04029673,9649.293972,1181.430952,849.2458105,181.0520159,438.6014839
990,38.2300074,533.2598979,118.1581389,385.042686,2.187751135,1200.036952,409.0923983,430.936779,194.6764289,13528.89071,18.16319384,9575.043244,1151.369435,809.9724344,242.7774077,475.315724
988,38.86947283,552.5496162,98.04534082,372.0581442,0,1171.081123,344.7975638,304.5209142,216.9596835,13572.96118,22.66468452,9507.362859,1065.586624,762.2036267,264.7211662,559.2338131
986,50.84382503,532.5113662,88.73666803,370.1918889,0.159604205,1143.476515,337.5911551,222.0990291,234.1345157,13568.42993,21.39002014,9459.666287,997.3334102,716.2965618,230.0708631,669.9412478
984,39.95115617,435.4238302,100.6496658,322.1294573,0.056360607,1124.06873,357.7636829,226.4583349,194.5765656,13566.67668,16.79416406,9433.248858,934.0882906,681.1874197,201.6487394,736.6127939
982,26.11981519,418.5374103,119.7967257,278.4442648,0,1110.486616,244.6319193,276.0586001,170.6674624,13590.58938,16.09221548,9387.775264,877.9265469,605.3929182,168.0835784,739.6645802
980,25.77930273,426.6733012,126.3470534,240.0853076,0.020315219,1079.602755,123.847591,278.6767323,214.1520432,13635.20997,21.32582579,9308.127249,815.7972037,527.7691029,150.8102928,901.2246179
978,46.11716067,362.5055738,123.3214162,200.1151934,0.033161522,1052.547332,118.2804045,237.9100489,264.8390681,13668.16816,27.22886007,9224.728151,757.7296374,484.50688,174.9496062,1093.664029
976,62.71556928,307.0671379,122.9881226,194.2231628,0.02840012,1070.936189,150.5801571,225.376828,238.2500249,13652.34352,28.02548352,9169.271101,749.2671676,439.2128996,200.3412623,1064.339074
974,53.07471051,336.7238288,125.8402908,214.4648255,0.002458037,1110.494562,132.9007786,248.0736503,180.0439068,13614.61269,22.96969892,9129.652518,774.6778585,370.4480921,175.9905183,884.6192481
972,49.39188032,310.9197937,129.6484059,175.3318556,0.000841161,1101.57835,136.0903517,242.6195152,207.7327173,13646.94331,15.14972365,9066.016989,727.7217715,338.5659609,142.1086242,777.733485
970,50.36691578,261.4425587,149.342853,177.9805568,0,1098.181213,138.1668199,213.5818266,200.5918635,13729.38726,9.048773039,8971.88801,662.7511258,320.6405939,135.5840591,810.1134544
