Raman shift [1/cm],IF1,IF2,IF3,IF4,IF5,IF6,IF7,IF8,IF9,IF10,IF11,IF12,IF13,IF14,IF15,IF16
1652,538.0019012,278.4597722,2141.902004,786.0191139,1048.079782,154.6797209,971.9082515,870.388898,1069.253738,2718.512575,532.2249022,1369.462046,5298.721005,2738.715095,307.0427582,247.9842611
1650,539.7527019,327.4936645,2099.046278,785.7988431,983.267563,106.5819306,996.2074793,896.9487632,1034.573526,2647.658497,514.5862135,1325.654249,5282.637133,2735.444192,241.96595,202.4570275
1648,593.685115,341.3496366,2111.23001,805.0901811,981.9472487,88.35797986,985.8938129,886.4916101,1010.194481,2581.091545,505.4297153,1383.762654,5319.861748,2783.140841,260.531542,173.2108296
1646,607.9724415,262.6802376,2180.562874,810.0113887,977.4898186,105.3094187,1003.735071,961.1591918,1029.524092,2695.279553,527.3503255,1419.911861,5454.668303,2782.332926,278.5362864,180.5701732
1644,622.0381209,241.0544814,2172.086381,753.0136677,961.0829716,97.06014848,981.8074788,932.5610568,1098.765727,2713.269559,494.3324854,1416.034047,5491.218835,2783.929216,206.0310284,158.8152907
1642,653.7663114,288.1395464,2177.249497,763.4054233,993.6825017,123.0265522,989.1783703,871.957615,1145.93528,2693.656684,427.1458075,1405.181645,5474.649917,2817.027703,166.3052049,148.7129702
1640,647.729231,319.8152227,2246.402249,839.8789329,997.3615646,204.327244,1043.501971,901.6585731,1136.05617,2764.477763,402.6546195,1375.895378,5558.971316,2836.81789,232.350859,155.6705271
1638,616.8377693,338.3432224,2252.45178,812.8646323,904.7600591,211.1116053,1031.827716,945.7585182,1127.203105,2787.884659,412.864403,1348.856479,5687.060335,2833.103791,269.6406066,127.8812717
1636,644.3242333,339.5086859,2249.386203,791.0437616,898.2090748,114.75937,1022.418846,989.7483676,1145.589166,2802.751339,371.3639044,1436.019777,5759.728884,2831.87055,242.5443451,170.1745626
1634,647.1502692,271.3301812,2264.417893,818.1677789,940.9014995,74.62562677,1071.559643,944.5942498,1162.134951,2830.783116,329.7426798,1493.830807,5762.976126,2839.834599,257.4989677,206.9328217
1632,629.7371662,234.9654291,2276.739241,822.084871,935.5370055,111.0421099,1089.333971,901.7554746,1134.362842,2788.871822,377.5163935,1452.596924,5765.777,2863.719024,253.9515277,147.4908002
1630,652.7047165,304.3571384,2293.854788,806.7990563,940.2478342,138.8671232,1042.240813,960.7692352,1098.146984,2738.446141,449.2894724,1419.93622,5834.602303,2875.328354,195.6980609,108.594881
1628,652.5294932,343.1299567,2333.150923,808.0564492,1051.004551,162.6752051,1041.447488,975.4426552,1133.554502,2823.742688,438.3121298,1413.888755,5906.381829,2851.696967,258.0859989,196.1446197
1626,606.7132664,321.5128983,2379.939315,728.2881227,1153.699953,145.5197351,1071.120866,924.2386626,1167.752753,2819.274452,418.1310281,1376.851524,5851.738802,2865.895141,377.9008362,205.9334391
1624,569.9117683,319.2734925,2383.016146,705.9075126,1091.979678,116.0856633,1086.982436,949.0168476,1155.768003,2809.63566,428.7175481,1344.831457,5868.826526,2902.110123,385.7980628,136.857092
1622,548.1621574,341.3992643,2334.49705,763.9894139,1009.972042,133.1918452,1098.533323,990.5019693,1180.667971,2890.58867,449.7427639,1360.410814,5913.816024,2908.958275,270.7006289,96.10727485
1620,507.2232592,348.728695,2306.027761,760.2083682,1112.260433,171.0350855,1102.687812,934.7902285,1272.015527,2897.311502,458.0480704,1392.86605,5786.573322,2888.325947,200.5270713,85.71457558
1618,481.7932541,382.2496463,2324.948153,759.7505704,1236.167992,158.924407,1050.607822,948.7968694,1302.938095,2810.297764,458.4893738,1391.256615,5771.757892,2869.734341,299.7151148,89.99179965
1616,494.9699018,392.3516736,2327.176441,791.483119,1283.795346,154.8321369,1057.281818,1018.437718,1253.226912,2790.494456,452.8468608,1429.591053,5897.900761,2879.505461,393.8944067,110.6871448
1614,530.6890457,386.6359721,2323.366961,788.511666,1261.095713,190.5251867,1124.583561,1038.545102,1170.919545,2807.941816,428.310067,1484.755394,5924.465494,2878.908783,378.4808703,127.3607418
1612,561.711404,366.487734,2343.979053,749.7572779,1214.87991,211.9385542,1162.496153,1035.247374,1132.801845,2811.431159,412.2442365,1457.350048,5866.856447,2888.782625,377.6104616,118.7263433
1610,568.185106,308.8585329,2362.825171,750.6919446,1214.847913,182.8802913,1190.118457,1079.055645,1185.711808,2845.192793,413.8156967,1427.212104,5925.48196,2975.251593,430.2047912,96.85144807
1608,533.8142437,333.9341768,2361.070944,767.655043,1262.360676,150.7521674,1233.179342,1062.212892,1256.910429,2822.676343,356.6145873,1550.792752,5970.858305,3029.774397,363.220838,98.56332194
